"trait","cor","pval","gender"
"lodging_tolerance",0.0747300935961638,0.819958540907326,"Man"
"pest_resistance",-0.0249306917413275,0.939551338918402,"Man"
"drought_resistance",0.22252093398488,0.493064782771665,"Man"
"white_seed_color",0.500000000059208,0.10261959243982,"Man"
"maturity_uniformity",0.54254626392866,0.07230804946243,"Man"
"lodging_tolerance",0.0373911942812056,0.901349052988593,"Woman"
"pest_resistance",0,1,"Woman"
"drought_resistance",0.111964476117866,0.709723298576306,"Woman"
"white_seed_color",0.733051871902901,0.00357119465029357,"Woman"
"maturity_uniformity",0.53203207657736,0.055763238572384,"Woman"
