Name,Description,OntologyID,ValueType,Unit,ControlledVocabulary
trial,trial name registered on ClimMob v2,,string,,
year,trial year registered on ClimMob v2,,string,,
crop,crop tested in the trial,,string,,
package_id,the package id ,,string,,
longitude,longitudinal coordinate of the testing site,,numeric,,
latitude,latitudinal coordinate of the testing site,,numeric,,
planting_date,date that the experiment was set in the testing site,,date,,
district,district where the testing site was set,,string,,
village,village where the testing site was set,,string,,
age,age of the respondent,,integer,year,
gender,gender of the respondent,,vocabulary encoding scheme,,M|F
variety_a,name of the first variety tested,,string,,
variety_b,name of the second variety tested,,string,,
variety_c,name of the third variety tested,,string,,
overall_performance_best,which variety was the most preferred among the three tested for Overall Performance ,,vocabulary encoding scheme,,A|B|C
overall_performance_worst,which variety was the least preferred among the three tested for Overall Performance ,,vocabulary encoding scheme,,A|B|C
harvest_date,date of harvest,,date,,
yield_variety_a_kg,yield of plot A in kg,,numeric,,
yield_variety_b_kg,yield of plot B in kg,,numeric,,
yield_variety_c_kg,yield of plot C in kg,,numeric,,
grown_again,which variety would you like to grow again in the next season,,string,,
vigor_best,which variety was the most preferred among the three tested for Vigor ,,vocabulary encoding scheme,,A|B|C
vigor_worst,which variety was the least preferred among the three tested for Vigor ,,vocabulary encoding scheme,,A|B|C
faster_maturity_best,which variety was the most preferred among the three tested for Faster Maturity ,,vocabulary encoding scheme,,A|B|C
faster_maturity_worst,which variety was the least preferred among the three tested for Faster Maturity ,,vocabulary encoding scheme,,A|B|C
disease_resistance_best,which variety was the most preferred among the three tested for Disease Resistance ,,vocabulary encoding scheme,,A|B|C
disease_resistance_worst,which variety was the least preferred among the three tested for Disease Resistance ,,vocabulary encoding scheme,,A|B|C
yield_best,which variety was the most preferred among the three tested for Yield ,,vocabulary encoding scheme,,A|B|C
yield_worst,which variety was the least preferred among the three tested for Yield ,,vocabulary encoding scheme,,A|B|C
market_value_best,which variety was the most preferred among the three tested for Market Value ,,vocabulary encoding scheme,,A|B|C
market_value_worst,which variety was the least preferred among the three tested for Market Value ,,vocabulary encoding scheme,,A|B|C
lodging_tolerance_best,which variety was the most preferred among the three tested for Lodging Tolerance ,,vocabulary encoding scheme,,A|B|C
lodging_tolerance_worst,which variety was the least preferred among the three tested for Lodging Tolerance ,,vocabulary encoding scheme,,A|B|C
adaptability_to_local_environment_best,which variety was the most preferred among the three tested for Adaptability To Local Environment ,,vocabulary encoding scheme,,A|B|C
adaptability_to_local_environment_worst,which variety was the least preferred among the three tested for Adaptability To Local Environment ,,vocabulary encoding scheme,,A|B|C
biomass_yield_best,which variety was the most preferred among the three tested for Biomass Yield ,,vocabulary encoding scheme,,A|B|C
biomass_yield_worst,which variety was the least preferred among the three tested for Biomass Yield ,,vocabulary encoding scheme,,A|B|C
panicle_performance_best,which variety was the most preferred among the three tested for Panicle Performance ,,vocabulary encoding scheme,,A|B|C
panicle_performance_worst,which variety was the least preferred among the three tested for Panicle Performance ,,vocabulary encoding scheme,,A|B|C
tillering_capacity_best,which variety was the most preferred among the three tested for Tillering Capacity ,,vocabulary encoding scheme,,A|B|C
tillering_capacity_worst,which variety was the least preferred among the three tested for Tillering Capacity ,,vocabulary encoding scheme,,A|B|C
spike_length_best,which variety was the most preferred among the three tested for Spike Length ,,vocabulary encoding scheme,,A|B|C
spike_length_worst,which variety was the least preferred among the three tested for Spike Length ,,vocabulary encoding scheme,,A|B|C
frost_resistance_best,which variety was the most preferred among the three tested for Frost Resistance ,,vocabulary encoding scheme,,A|B|C
frost_resistance_worst,which variety was the least preferred among the three tested for Frost Resistance ,,vocabulary encoding scheme,,A|B|C
bird_attack_best,which variety was the most preferred among the three tested for Bird Attack ,,vocabulary encoding scheme,,A|B|C
bird_attack_worst,which variety was the least preferred among the three tested for Bird Attack ,,vocabulary encoding scheme,,A|B|C
pod_performance_best,which variety was the most preferred among the three tested for Pod Performance ,,vocabulary encoding scheme,,A|B|C
pod_performance_worst,which variety was the least preferred among the three tested for Pod Performance ,,vocabulary encoding scheme,,A|B|C
pest_resistance_best,which variety was the most preferred among the three tested for Pest Resistance ,,vocabulary encoding scheme,,A|B|C
pest_resistance_worst,which variety was the least preferred among the three tested for Pest Resistance ,,vocabulary encoding scheme,,A|B|C
seed_color_best,which variety was the most preferred among the three tested for Seed Color ,,vocabulary encoding scheme,,A|B|C
seed_color_worst,which variety was the least preferred among the three tested for Seed Color ,,vocabulary encoding scheme,,A|B|C
straw_biomass_best,which variety was the most preferred among the three tested for Straw Biomass ,,vocabulary encoding scheme,,A|B|C
straw_biomass_worst,which variety was the least preferred among the three tested for Straw Biomass ,,vocabulary encoding scheme,,A|B|C
drought_resistance_best,which variety was the most preferred among the three tested for Drought Resistance ,,vocabulary encoding scheme,,A|B|C
drought_resistance_worst,which variety was the least preferred among the three tested for Drought Resistance ,,vocabulary encoding scheme,,A|B|C
taste_best,which variety was the most preferred among the three tested for Taste ,,vocabulary encoding scheme,,A|B|C
taste_worst,which variety was the least preferred among the three tested for Taste ,,vocabulary encoding scheme,,A|B|C
name_of_the_local_variety,the name of the local variety,,string,,
germination_best,which variety was the most preferred among the three tested for Germination ,,vocabulary encoding scheme,,A|B|C
germination_worst,which variety was the least preferred among the three tested for Germination ,,vocabulary encoding scheme,,A|B|C
plant_architecture_best,which variety was the most preferred among the three tested for Plant Architecture ,,vocabulary encoding scheme,,A|B|C
plant_architecture_worst,which variety was the least preferred among the three tested for Plant Architecture ,,vocabulary encoding scheme,,A|B|C
seed_size_best,which variety was the most preferred among the three tested for Seed Size ,,vocabulary encoding scheme,,A|B|C
seed_size_worst,which variety was the least preferred among the three tested for Seed Size ,,vocabulary encoding scheme,,A|B|C
